PLZ,Ort
72275,Alpirsbach
53547,Alsau
56237,Alsbach
64665,Alsbach-Hähnlein
52477,Alsdorf
54668,Alsdorf
67821,Alsenz
36304,Alsfeld
67577,Alsheim
06425,Alsleben
24848,Alt Bennebek
14822,Alt Bork
14656,Alt Brieselang
18233,Alt Bukow
24791,Alt Duvenstedt
15526,Alt Golm
19303,Alt Jabel
18236,Alt Karin
18299,Alt Kätwin
19288,Alt Krenzlin
18581,Alt Lanschvitz
16837,Alt Lutterow
15518,Alt Madlitz
15306,Alt Mahlisch
19069,Alt Meteln
23881,Alt Mölln
19412,Alt Necheln
23992,Alt Poorstorf
17217,Alt Rehse
16827,Alt Ruppin
17214,Alt Schwerin
15859,Alt Stahnsdorf
17129,Alt Tellin
15328,Alt Tucheband
19230,Alt Zachun
15913,Alt Zauche
73776,Altbach
15320,Altbarnim
76726,Altbrand
03229,Altdöbern
67482,Altdorf
71155,Altdorf
72655,Altdorf
84032,Altdorf
90518,Nürnberg
18573,Altefähr
93087,Alteglofsheim
58762,Altena
53505,Altenahr
04931,Altenau
38707,Altenau
04828,Altenbach
55585,Altenbamberg
33184,Altenbeken
01773,Altenberg
07768,Altenberga
48341,Altenberge
07338,Altenbeuthen
38889,Altenbrak
97901,Altenbuch
04600,Altenburg
65624,Altendiez
01855,Altendorf
92540,Altendorf
96146,Altendorf
07356,Altengesees
66885,Altenglan
99991,Altengottern
17091,Altenhagen
16244,Altenhof
17209,Altenhof
24340,Altenhof
54636,Altenhof
54655,Altenhof
67677,Altenhof
24161,Altenholz
18556,Altenkirchen
57610,Altenkirchen
66903,Altenkirchen
23730,Altenkrempe
96264,Altenkunstadt
83352,Altenmarkt
29575,Altenmedingen
86450,Altenmünster
18445,Altenpleen
72657,Altenriet
06642,Altenroda
63674,Altenstadt
86972,Altenstadt
89281,Altenstadt
92665,Altenstadt
72213,Altensteig
93177,Altenthann
17087,Altentreptow
39171,Altenweddingen
39596,Altenzaun
56288,Alterkülz
98587,Altersbach
97237,Altertheim
56130,Altes Forsthaus
14913,Altes Lager
84169,Altfraunhofen
16278,Alt-Galow
82278,Althegnenberg
89174,Altheim
89605,Altheim
91788,Altheimersberg
75382,Althengstett
66484,Althornbach
71566,Althütte
16247,Althüttendorf
06800,Altjeßnitz
17179,Altkalen
04626,Altkirchen
15345,Altlandsberg
56858,Altlay
67317,Altleiningen
68804,Altlußheim
54492,Altmachern
93336,Altmannstein
39624,Altmersleben
85250,Altomünster
19294,Altona
04643,Altottenhain
84503,Altötting
54518,Altrich
67122,Altrip
15910,Alt-Schadow
88361,Altshausen
17166,Alt-Sührkow
16798,Altthymen
87452,Altusried
17379,Altwigshagen
24214,Altwittenbek
25486,Alveslohe
63755,Alzenau
55232,Alzey
21227,Am Jägerberg
82493,Am Quicken
61200,Am Römerhof
21706,Am Rönndeich
65385,Am Rüdesheimer Hafen
34127,Am Sandkopf
66849,Am Sandweiher
76889,Am Springberg
38350,Am Tekenberge
16766,Amalienfelde
86854,Amberg
92224,Amberg
21385,Amelinghausen
83123,Amerang
86735,Amerdingen
39439,Amesdorf
54673,Ammeldingen
54675,Ammeldingen
72119,Ammerbuch
90614,Ammerndorf
22949,Ammersbek
92260,Ammerthal
35287,Amöneburg
63916,Amorbach
84539,Ampfing
06317,Amsdorf
73340,Amstetten
09439,Amtsberg
88279,Amtzell
25840,An der Chaussee
37434,An der Rhumequelle
82346,Andechs
36452,Andenhausen
38836,Anderbeck
27446,Anderlingen
56626,Andernach
49832,Andervenne
99189,Andisleben
74918,Angelbachtal
35719,Angelburg
99338,Angelroda
83454,Anger
39326,Angern
06179,Angersdorf
56584,Anhausen
37308,Ankermühle
17219,Ankershagen
17389,Anklam
49577,Ankum
18239,Anna Luisenhof
67098,Bad Dürkheim
09456,Annaberg-Buchholz
06925,Annaburg
01994,Annahütte
06308,Annarode
83368,Anning
76855,Annweiler
59609,Anröchte
91522,Ansbach
82387,Antdorf
36326,Antrifttal
53533,Antweiler
85646,Anzing
31552,Apelern
26689,Apen
38486,Apenburg
21641,Apensen
86974,Apfeldorf
99192,Apfelstädt
87742,Apfeltrach
99510,Apolda
21279,Appel
27616,Appeln
25482,Appen
55437,Appenheim
99768,Appenrode
74597,Appensee
77767,Appenweier
83376,Apperting
56769,Arbach
91722,Arberg
39619,Arendsee
06369,Arensdorf
37318,Arenshausen
14827,Arensnest
03253,Arenzhain
86561,Aresing
88260,Argenbühl
55496,Argenthal
37627,Arholzen
83374,Arleting
25860,Arlewatt
55288,Armsheim
24616,Armstedt
21769,Armstorf
93471,Arnbruck
24399,Arnis
07330,Arnsbach
59755,Arnsberg
59757,Arnsberg
59759,Arnsberg
59821,Arnsberg
59823,Arnsberg
93473,Arnschwang
01477,Arnsdorf
06917,Arnsdorf
07952,Arnsgrün
56244,Arnshöfen
06333,Arnstedt
56379,Arnstein
97450,Arnstein
94424,Arnstorf
24634,Arpsdorf
23948,Arpshagen
93474,Arrach
06556,Artern
21380,Artlenburg
56337,Arzbach
04886,Arzberg
95659,Arzberg
54687,Arzfeld
53567,Asbach
89522,Asbach
98574,Asbach
86663,Asbach-Bäumenheim
94347,Ascha
63739,Aschaffenburg
63741,Aschaffenburg
63743,Aschaffenburg
99958,Aschara
83229,Aschau
84544,Aschau
67753,Aschbach
24326,Ascheberg
59387,Ascheberg
24358,Ascheffel
26871,Aschendorf
98634,Aschenhausen
06449,Aschersleben
85609,Aschheim
21271,Asendorf
27330,Asendorf
71546,Aspach
99880,Aspach
21388,Aspelhorn
38822,Aspenstedt
71679,Asperg
55459,Aspisheim
97959,Assamstadt
89176,Asselfingen
35614,Aßlar
85617,Aßling
06901,Ateritz
57439,Attendorn
84091,Attenhofen
85395,Attenkirchen
88448,Attenweiler
03172,Atterwasch
94348,Atting
57629,Atzelgift
39443,Atzendorf
76474,Au
79280,Au
83546,Au
84072,Au
97239,Aub
97633,Aubstadt
04838,Audenhain
56766,Auderath
08280,Aue
56357,Auel
55569,Auen
71549,Auenwald
08209,Auerbach
09392,Auerbach
91275,Auerbach
94530,Auerbach
95703,Auerberg
99518,Auerstedt
31749,Auetal
93089,Aufhausen
82282,Aufkirchen
91347,Aufseß
79424,Auggen
86150,Augsburg
86152,Augsburg
86153,Augsburg
86154,Augsburg
86156,Augsburg
86157,Augsburg
86159,Augsburg
86161,Augsburg
86163,Augsburg
86165,Augsburg
86167,Augsburg
86169,Augsburg
86179,Augsburg
86199,Augsburg
32832,Augustdorf
09573,Augustusburg
31553,Auhagen
86736,Auhausen
24613,Aukrug
99765,Auleben
88326,Aulendorf
39615,Aulosen
07955,Auma
21521,Aumühle
97717,Aura
97773,Aura
91589,Aurach
91086,Aurachtal
26603,Aurich
26605,Aurich
26607,Aurich
24975,Ausacker
39393,Ausleben
94532,Außernzell
04849,Authausen
25548,Auufer
54597,Auw
54664,Auw
94568,Auwies
25927,Aventoft
25715,Averlak
06922,Axien
27729,Axstedt
85653,Aying
54441,Ayl
86482,Aystetten
99198,Azmannsdorf
18586,Baabe
86674,Baar
85107,Baar-Ebenhausen
19309,Baarz
06388,Baasdorf
03246,Babben
64832,Babenhausen
87727,Babenhausen
83547,Babensham
17237,Babke
93090,Bach
55422,Bacharach
96528,Bachfeld
89429,Bachhagel
89431,Bächingen
84428,Bachzelten
71522,Backnang
93077,Bad Abbach
83043,Bad Aibling
95680,Bad Alexandersbad
34454,Bad Arolsen
82435,Bad Bayersoien
27624,Bad Bederkesa
79415,Bad Bellingen
48455,Bad Bentheim
76887,Bad Bergzabern
99438,Bad Berka
57319,Bad Berleburg
95460,Bad Berneck
56864,Bad Bertrich
29549,Bad Bevensen
06647,Bad Bibra
84364,Bad Birnbach
07422,Bad Blankenburg
97708,Bad Bocklet
29389,Bad Bodenteich
08648,Bad Brambach
24576,Bad Bramstedt
53498,Bad Breisig
97769,Bad Brückenau
65520,Bad Camberg
98663,Bad Colberg-Heldburg
73342,Bad Ditzenbach
18209,Bad Doberan
33014,Bad Driburg
06231,Bad Dürrenberg
78073,Bad Dürrheim
31707,Bad Eilsen
08645,Bad Elster
34308,Bad Emstal
35080,Bad Endbach
83093,Bad Endorf
49152,Bad Essen
83075,Bad Feilnbach
06567,Bad Frankenhausen
74177,Bad Friedrichshall
94072,Bad Füssing
37581,Bad Gandersheim
01816,Bad Gottleuba
94086,Bad Griesbach
87730,Bad Grönenbach
37539,Bad Grund
38667,Bad Harzburg
83670,Bad Heilbrunn
76332,Bad Herrenalb
36251,Bad Hersfeld
61348,Bad Homburg
61350,Bad Homburg
61352,Bad Homburg
53604,Bad Honnef
53557,Bad Hönningen
49186,Bad Iburg
34385,Bad Karlshafen
97688,Bad Kissingen
23996,Bad Kleinen
07639,Bad Klosterlausnitz
82433,Bad Kohlgrub
64732,Bad König
97631,Bad Königshofen
07586,Bad Köstritz
55543,Bad Kreuznach
55545,Bad Kreuznach
79189,Bad Krozingen
57334,Bad Laasphe
49196,Bad Laer
99947,Bad Langensalza
06246,Bad Lauchstädt
04651,Bad Lausick
37431,Bad Lauterberg
36448,Bad Liebenstein
04924,Bad Liebenwerda
75378,Bad Liebenzell
33175,Bad Lippspringe
56470,Bad Marienberg
97980,Bad Mergentheim
31848,Bad Münder
55583,Bad Münster-Ebernburg
53902,Bad Münstereifel
02953,Bad Muskau
61231,Bad Nauheim
31542,Bad Nenndorf
53474,Bad Neuenahr-Ahrweiler
97616,Bad Neustadt
32545,Bad Oeynhausen
32547,Bad Oeynhausen
32549,Bad Oeynhausen
23843,Bad Oldesloe
63619,Bad Orb
77740,Bad Peterstal-Griesbach
31812,Bad Pyrmont
74906,Bad Rappenau
83435,Bad Reichenhall
77776,Bad Rippoldsau-Schapbach
96476,Bad Rodach
49214,Bad Rothenfelde
37441,Bad Sachsa
79713,Bad Säckingen
31162,Bad Salzdetfurth
36364,Bad Salzschlirf
32105,Bad Salzuflen
32107,Bad Salzuflen
32108,Bad Salzuflen
36433,Bad Salzungen
59505,Bad Sassendorf
88348,Bad Saulgau
01814,Bad Schandau
06905,Bad Schmiedeberg
76669,Bad Schönborn
88427,Bad Schussenried
65307,Bad Schwalbach
23611,Bad Schwartau
23795,Bad Segeberg
55566,Bad Sobernheim
65812,Bad Soden
63628,Bad Soden-Salmünster
37242,Bad Sooden-Allendorf
96231,Bad Staffelstein
95138,Bad Steben
18334,Bad Sülze
75385,Bad Teinach-Zavelstein
99955,Bad Tennstedt
83646,Bad Tölz
73337,Bad Überkingen
72574,Bad Urach
61118,Bad Vilbel
88339,Bad Waldsee
83707,Bad Wiessee
75323,Bad Wildbad
34537,Bad Wildungen
19336,Bad Wilsnack
74206,Bad Wimpfen
91438,Bad Windsheim
86825,Bad Wörishofen
33181,Bad Wünnenberg
88410,Bad Wurzach
34596,Bad Zwesten
26160,Bad Zwischenahn
49635,Badbergen
38271,Baddeckenstedt
06493,Badeborn
19258,Badekow
54657,Badem
76530,Baden-Baden
76532,Baden-Baden
76534,Baden-Baden
23619,Badendorf
56291,Badenhard
37534,Badenhausen
55576,Badenheim
79410,Badenweiler
39579,Badingen
64754,Badisch Schöllenbach
19209,Badow
99706,Badra
52499,Baesweiler
17326,Bagemühl
03130,Bagenz
14778,Bagow
19089,Bahlenhüschen
79353,Bahlingen
14715,Bahnitz
04895,Bahnsdorf
88441,Bahnstock
38459,Bahrdorf
03249,Bahren
27245,Bahrenborstel
25569,Bahrenfleth
23845,Bahrenhof
01819,Bahretal
15898,Bahro
88255,Baienfurt
84171,Baierbach
82065,Baierbrunn
85625,Baiern
72270,Baiersbronn
91083,Baiersdorf
87650,Baisweil
14806,Baitz
49456,Bakum
87538,Balderschwang
85598,Baldham
54314,Baldringen
65558,Balduinstein
31609,Balge
78582,Balgheim
06632,Balgstädt
72336,Balingen
21730,Balje
89177,Ballendorf
39606,Ballerstedt
79282,Ballrechten-Dottingen
99869,Ballstädt
99439,Ballstedt
19300,Balow
73666,Baltmannsweiler
26579,Baltrum
58802,Balve
86483,Balzhausen
88481,Balzheim
96047,Bamberg
96049,Bamberg
96050,Bamberg
96052,Bamberg
69245,Bammental
19249,Bandekow
19273,Bandekow
17506,Bandelin
18258,Bandow
66851,Bann
56424,Bannberscheid
23769,Bannesdorf
01728,Bannewitz
31029,Banteln
16868,Bantikow
19246,Bantin
16835,Banzendorf
54619,Banzenhof
19079,Banzkow
93092,Barbing
39249,Barby
36456,Barchfeld
21357,Bardowick
55483,Bärenbach
73655,Bärenbach
66996,Bärenbrunnerhof
21397,Barendorf
23936,Barendorf
73529,Bärenhof
16727,Bärenklau
01768,Bärenstein
09471,Bärenstein
78580,Bärenthal
16866,Barenthin
25704,Bargenstedt
23863,Bargfeld-Stegen
25563,Bargholz
17398,Bargischow
24806,Bargstall
21698,Bargstedt
24793,Bargstedt
22941,Bargteheide
23826,Bark
24360,Barkelsby
25791,Barkenholm
24863,Barkhorn
19395,Barkow
39179,Barleben
25719,Barlt
24245,Barmissen
25355,Barmstedt
95671,Bärnau
23968,Barnekow
23858,Barnitz
01471,Bärnsdorf
21406,Barnstedt
49406,Barnstorf
32683,Barntrup
24217,Barsbek
22885,Barsbüttel
16845,Barsikow
30890,Barsinghausen
26676,Barßel
18314,Bartelshagen II
18356,Barth
73566,Bartholomä
17089,Bartow
29576,Barum
15837,Baruth
49453,Barver
38476,Barwedel
53534,Barweiler
55606,Bärweiler
54578,Basberg
16352,Basdorf
17139,Basedow
21483,Basedow
56220,Bassenheim
27211,Bassum
97654,Bastheim
21493,Basthorst
18230,Bastorf
35088,Battenberg
67271,Battenberg
99625,Battgendorf
17328,Battinsthal
15377,Batzlow
91460,Baudenbach
19372,Bauerkuhl
18246,Baumgarten
55774,Baumholder
96148,Baunach
34225,Baunatal
54538,Bausendorf
02625,Bautzen
49844,Bawinkel
84092,Bayerbach
94137,Bayerbach
67808,Bayerfeld-Steckweiler
94252,Bayerisch Eisenstein
83457,Bayerisch Gmain
95444,Bayreuth
95445,Bayreuth
95447,Bayreuth
95448,Bayreuth
83735,Bayrischzell
23816,Bebensee
99976,Beberstedt
87770,Beblinstetten
36179,Bebra
56132,Becheln
23923,Bechelsdorf
55608,Becherbach
67827,Becherbach
66894,Bechhofen
91572,Bechhofen
99428,Bechstedtstraß
67595,Bechtheim
92699,Bechtsrieth
21643,Beckdorf
31699,Beckedorf
31698,Beckedorfer Schacht
27243,Beckeln
66955,Beckenhof
17194,Beckenkrug
66701,Beckingen
59269,Beckum
50181,Bedburg
47551,Bedburg-Hau
29355,Beedenbostel
48361,Beelen
14547,Beelitz
17258,Beenz
64743,Beerfelden
15926,Beesdau
06198,Beesenstedt
15848,Beeskow
17111,Beestland
23919,Behlendorf
15868,Behlow
18510,Behnkendorf
39356,Behnsdorf
25850,Behrendorf
17498,Behrenhoff
24321,Behrensdorf
99326,Behringen
98631,Behrungen
63543,Bei den Tongruben
04720,Beicha
25573,Beidenfleth
08340,Beierfeld
02736,Beiersdorf
38382,Beierstedt
92339,Beilngries
56814,Beilstein
71717,Beilstein
89179,Beimerstetten
67259,Beindersheim
98660,Beinerstadt
54552,Beinhausen
25554,Bekdorf
54340,Bekond
24601,Belau
25557,Beldorf
04874,Belgern
04683,Belgershain
56745,Bell
89287,Bellenberg
36208,Bellers
76756,Bellheim
18292,Bellin
49191,Belm
56290,Beltheim
21785,Belum
73494,Belzhof
56203,Bembermühle
56170,Bembsmühle
72658,Bempflingen
23942,Benckendorf
19339,Bendelin
19205,Bendhof
83671,Benediktbeuern
67435,Benjental
38877,Benneckenstein
71726,Benningen
87734,Benningen
06536,Bennungen
14789,Bensdorf
98554,Benshausen
64625,Bensheim
18182,Bentwisch
23970,Benz
19217,Benzin
55494,Benzweiler
93176,Beratzhausen
92334,Berching
83471,Berchtesgaden
76768,Berg
82335,Berg
83362,Berg
88276,Berg
92348,Berg
95180,Berg
86562,Berg im Gau
07980,Berga
88368,Bergatreute
14641,Berge
49626,Berge
08239,Bergen
18528,Bergen
29303,Bergen
29468,Bergen
83346,Bergen
91790,Bergen
24861,Bergenhusen
25779,Bergewöhrden
38467,Bergfeld
16562,Bergfelde
77791,Berghaupten
56368,Berghausen
50126,Bergheim
50127,Bergheim
50129,Bergheim
86673,Bergheim
73249,Berghof
17321,Bergholz
14558,Bergholz-Rehbrücke
89180,Berghülen
51427,Bergisch Gladbach
51429,Bergisch Gladbach
51465,Bergisch Gladbach
51467,Bergisch Gladbach
51469,Bergisch Gladbach
59192,Bergkamen
85232,Bergkirchen
49459,Berglage
55776,Berglangenbach
73663,Berglen
85459,Berglern
54426,Berglicht
67823,Bergmühle
51702,Bergneustadt
19374,Bergrade Dorf
97493,Bergrheinfeld
97241,Bergtheim
06773,Bergwitz
39307,Bergzow
25575,Beringstedt
99837,Berka
37297,Berkatal
88450,Berkheim
16306,Berkholz-Meyenburg
10837,Berlin
10919,Berlin
10115,Berlin
10117,Berlin
10119,Berlin
10178,Berlin
10179,Berlin
10243,Berlin
10245,Berlin
10247,Berlin
10249,Berlin
10315,Berlin
10317,Berlin
10318,Berlin
10319,Berlin
10365,Berlin
10367,Berlin
10369,Berlin
10405,Berlin
10407,Berlin
10409,Berlin
10435,Berlin
10437,Berlin
10439,Berlin
10551,Berlin
10553,Berlin
10555,Berlin
10557,Berlin
10559,Berlin
10585,Berlin
10587,Berlin
10589,Berlin
10623,Berlin
10625,Berlin
10627,Berlin
10629,Berlin
10707,Berlin
10709,Berlin
10711,Berlin
10713,Berlin
10715,Berlin
10717,Berlin
10719,Berlin
10777,Berlin
10779,Berlin
10781,Berlin
10783,Berlin
10785,Berlin
10787,Berlin
10789,Berlin
10823,Berlin
10825,Berlin
10827,Berlin
10829,Berlin
10961,Berlin
10963,Berlin
10965,Berlin
10967,Berlin
10969,Berlin
10997,Berlin
10999,Berlin
12043,Berlin
12045,Berlin
12047,Berlin
12049,Berlin
12051,Berlin
12053,Berlin
12055,Berlin
12057,Berlin
12059,Berlin
12099,Berlin
12101,Berlin
12103,Berlin
12105,Berlin
12107,Berlin
12109,Berlin
12157,Berlin
12159,Berlin
12161,Berlin
12163,Berlin
12165,Berlin
12167,Berlin
12169,Berlin
12203,Berlin
12205,Berlin
12207,Berlin
12209,Berlin
12247,Berlin
12249,Berlin
12277,Berlin
12279,Berlin
12305,Berlin
12307,Berlin
12309,Berlin
12347,Berlin
12349,Berlin
12351,Berlin
12353,Berlin
12355,Berlin
12357,Berlin
12359,Berlin
12435,Berlin
12437,Berlin
12439,Berlin
12459,Berlin
12487,Berlin
12489,Berlin
12524,Berlin
12526,Berlin
12527,Berlin
12555,Berlin
12557,Berlin
12559,Berlin
12587,Berlin
12589,Berlin
12619,Berlin
12621,Berlin
12623,Berlin
12627,Berlin
12629,Berlin
12679,Berlin
12681,Berlin
12683,Berlin
12685,Berlin
12687,Berlin
12689,Berlin
13051,Berlin
13053,Berlin
13055,Berlin
13057,Berlin
13059,Berlin
13086,Berlin
13088,Berlin
13089,Berlin
13125,Berlin
13127,Berlin
13129,Berlin
13156,Berlin
13158,Berlin
13159,Berlin
13187,Berlin
13189,Berlin
13347,Berlin
13349,Berlin
13351,Berlin
13353,Berlin
13355,Berlin
13357,Berlin
13359,Berlin
13403,Berlin
13405,Berlin
13407,Berlin
13409,Berlin
13435,Berlin
13437,Berlin
13439,Berlin
13465,Berlin
13467,Berlin
13469,Berlin
13503,Berlin
13505,Berlin
13507,Berlin
13509,Berlin
13581,Berlin
13583,Berlin
13585,Berlin
13587,Berlin
13589,Berlin
13591,Berlin
13593,Berlin
13595,Berlin
13597,Berlin
13599,Berlin
13627,Berlin
13629,Berlin
14050,Berlin
14052,Berlin
14053,Berlin
14055,Berlin
14057,Berlin
14059,Berlin
14089,Berlin
14109,Berlin
14129,Berlin
14163,Berlin
14165,Berlin
14167,Berlin
14169,Berlin
14193,Berlin
14195,Berlin
14197,Berlin
14199,Berlin
16909,Berlinchen
54570,Berlingen
88697,Bermatingen
36419,Bermbach
67593,Bermersheim
16321,Bernau
79872,Bernau
83233,Bernau
86975,Bernbeuren
06406,Bernburg
27804,Berne
92361,Berngau
71560,Bernhalden
93170,Bernhardswald
18249,Bernitt
54470,Bernkastel-Kues
16515,Bernöwe
82347,Bernried
94505,Bernried
08315,Bernsbach
02994,Bernsdorf
09337,Bernsdorf
02748,Bernstadt
89182,Bernstadt
37355,Bernterode
56414,Berod
55777,Berschweiler
49593,Bersenbrück
38835,Berßel
02747,Berthelsdorf
94565,Bertholling
39517,Bertingen
26524,Berumbur
57632,Berzhausen
54413,Bescheid
23738,Beschendorf
25584,Besdorf
65614,Beselich
23899,Besenthal
17039,Beseritz
74354,Besigheim
63856,Bessenbach
15741,Bestensee
59909,Bestwig
08258,Bethanien
31032,Betheln
07554,Bethenhausen
54533,Bettenfeld
54646,Bettingen
57518,Betzdorf
21386,Betzendorf
87743,Betzenhausen
91282,Betzenstein
87488,Betzigau
16833,Betzin
72291,Betzweiler-Wälde
04824,Beucha
99819,Beuernfeld
07616,Beulbar-Ilmsdorf
56283,Beulich
37327,Beuren
56825,Beuren
72660,Beuren
88631,Beuron
17268,Beutel
73547,Beutenmühle
37639,Bevern
37688,Beverungen
66450,Bexbach
06528,Beyernaumburg
39264,Bias
77781,Biberach
88400,Biberach
98666,Biberau
86485,Biberbach
89346,Bibertal
68647,Biblis
19417,Bibow
93354,Biburg
83673,Bichl
64404,Bickenbach
87651,Bidingen
97318,Biebelried
55546,Biebelsheim
97243,Bieberehren
63599,Biebergemünd
55471,Biebern
09629,Bieberstein
35444,Biebertal
64584,Biebesheim
35216,Biedenkopf
79215,Biederbach
39175,Biederitz
66917,Biedershausen
15236,Biegen
01945,Biehlen
33602,Bielefeld
33604,Bielefeld
33605,Bielefeld
33607,Bielefeld
33609,Bielefeld
33611,Bielefeld
33613,Bielefeld
33615,Bielefeld
33617,Bielefeld
33619,Bielefeld
33647,Bielefeld
33649,Bielefeld
33659,Bielefeld
33689,Bielefeld
33699,Bielefeld
33719,Bielefeld
33729,Bielefeld
33739,Bielefeld
99735,Bielen
29553,Bienenbüttel
39221,Biere
93195,Biersackschlag
53520,Bierschbacher Mühle
06343,Biesenrode
16359,Biesenthal
87640,Biessenhofen
76467,Bietigheim
74321,Bietigheim-Bissingen
48727,Billerbeck
74842,Billigheim
76831,Billigheim-Ingenheim
25485,Bilsen
06578,Bilzingsleben
74862,Binau
39590,Bindfelde
95463,Bindlach
15754,Bindow
55411,Bingen
72511,Bingen
61203,Bingenheimer Mühle
31619,Binnen
56754,Binningen
86637,Binswangen
79589,Binzen
73102,Birenbach
54587,Birgel
92262,Birgland
69488,Birkenau
57589,Birkenbeul
55765,Birkenfeld
75217,Birkenfeld
97834,Birkenfeld
14979,Birkenhain
67134,Birkenheide
57587,Birken-Honigsessen
07366,Birkenhügel
15366,Birkenstein
63699,Birkenstöcke
16547,Birkenwerder
15748,Birkholz
15831,Birkholz
19357,Birkholz
07336,Birkigt
65626,Birlenbach
57612,Birnbach
84419,Birnbach
54574,Birresborn
63633,Birstein
96120,Bischberg
97836,Bischbrunn
03205,Bischdorf
67294,Bischheim
01920,Bischheim-Häslich
35649,Bischoffen
37345,Bischofferode
99826,Bischofroda
06295,Bischofrode
95493,Bischofsgrün
65474,Bischofsheim
97653,Bischofsheim
94253,Bischofsmais
01877,Bischofswerda
83483,Bischofswiesen
76476,Bischweier
72406,Bisingen
17322,Bismark
39629,Bismark
29646,Bispingen
49143,Bissendorf
67281,Bissersheim
73266,Bissingen
86657,Bissingen
67806,Rockenhausen
54634,Bitburg
06749,Bitterfeld
72475,Bitz
57539,Bitzen
93476,Blaibach
87544,Blaichach
63825,Blankenbach
15827,Blankenfelde
99444,Blankenhain
53945,Blankenheim
56865,Blankenrath
14959,Blankensee
89143,Blaubeuren
83486,Blaueishütte
08318,Blauenthal
74572,Blaufelden
89134,Blaustein
08309,Blechhammer
21354,Bleckede
54608,Bleialf
99752,Bleicherode
24327,Blekendorf
